set,series,exp,length_m,duration_min,flow_Lmin,inlet_head_m,outlet_head_m,head_darcy_m
First Set of Experiments: Outlet at atmospheric pressure,1st Series,1,0.58,25.0,3.6,,,1.11
First Set of Experiments: Outlet at atmospheric pressure,1st Series,2,0.58,20.0,7.65,,,2.36
First Set of Experiments: Outlet at atmospheric pressure,1st Series,3,0.58,15.0,12.0,,,4.0
First Set of Experiments: Outlet at atmospheric pressure,1st Series,4,0.58,18.0,14.28,,,4.9
First Set of Experiments: Outlet at atmospheric pressure,1st Series,5,0.58,17.0,15.2,,,5.02
First Set of Experiments: Outlet at atmospheric pressure,1st Series,6,0.58,17.0,21.8,,,7.63
First Set of Experiments: Outlet at atmospheric pressure,1st Series,7,0.58,11.0,23.41,,,8.13
First Set of Experiments: Outlet at atmospheric pressure,1st Series,8,0.58,15.0,24.5,,,8.58
First Set of Experiments: Outlet at atmospheric pressure,1st Series,9,0.58,13.0,27.8,,,9.86
First Set of Experiments: Outlet at atmospheric pressure,1st Series,10,0.58,10.0,29.4,,,10.89
First Set of Experiments: Outlet at atmospheric pressure,2nd Series,1,1.14,30.0,2.66,,,2.6
First Set of Experiments: Outlet at atmospheric pressure,2nd Series,2,1.14,21.0,4.28,,,4.7
First Set of Experiments: Outlet at atmospheric pressure,2nd Series,3,1.14,26.0,6.26,,,7.71
First Set of Experiments: Outlet at atmospheric pressure,2nd Series,4,1.14,18.0,8.6,,,10.34
First Set of Experiments: Outlet at atmospheric pressure,2nd Series,5,1.14,10.0,8.9,,,10.75
First Set of Experiments: Outlet at atmospheric pressure,2nd Series,6,1.14,24.0,10.4,,,12.34
First Set of Experiments: Outlet at atmospheric pressure,3rd Series,1,1.71,31.0,2.13,,,2.57
First Set of Experiments: Outlet at atmospheric pressure,3rd Series,2,1.71,20.0,3.9,,,5.09
First Set of Experiments: Outlet at atmospheric pressure,3rd Series,3,1.71,17.0,7.25,,,9.46
First Set of Experiments: Outlet at atmospheric pressure,3rd Series,4,1.71,20.0,8.55,,,12.35
First Set of Experiments: Outlet at atmospheric pressure,4th Series,1,1.7,20.0,5.25,,,6.98
First Set of Experiments: Outlet at atmospheric pressure,4th Series,2,1.7,20.0,7.0,,,9.95
First Set of Experiments: Outlet at atmospheric pressure,4th Series,3,1.7,20.0,10.3,,,13.93
Second Set of Experiments: Outlet Pressurized,,1,1.1,15.0,18.8,9.48,-3.6,13.08
Second Set of Experiments: Outlet Pressurized,,2,1.1,15.0,18.3,12.88,0.0,12.88
Second Set of Experiments: Outlet Pressurized,,3,1.1,10.0,18.0,9.8,-2.78,12.58
Second Set of Experiments: Outlet Pressurized,,4,1.1,10.0,17.4,12.87,0.46,12.41
Second Set of Experiments: Outlet Pressurized,,5,1.1,20.0,18.1,12.8,0.49,12.35
Second Set of Experiments: Outlet Pressurized,,6,1.1,16.0,14.9,8.86,-0.83,9.69
Second Set of Experiments: Outlet Pressurized,,7,1.1,15.0,12.1,12.84,4.4,8.44
Second Set of Experiments: Outlet Pressurized,,8,1.1,15.0,9.8,6.71,0.0,6.71
Second Set of Experiments: Outlet Pressurized,,9,1.1,20.0,7.9,12.81,7.03,5.78
Second Set of Experiments: Outlet Pressurized,,10,1.1,20.0,8.65,5.58,0.0,5.58
Second Set of Experiments: Outlet Pressurized,,11,1.1,20.0,4.5,2.98,0.0,2.98
Second Set of Experiments: Outlet Pressurized,,12,1.1,20.0,4.15,12.86,9.88,2.98
